id,descriptio,Greek,German,GreekFactor,English,long,lat,photo,factor,GreekDescriptio,GermanFactor,GermanDescriptio
1,Kozani's Square,"Η πλατεία Νίκης είναι η κεντρική πλατεία της Κοζάνης. Βρίσκεται περίπου στο κεντρικό τμήμα της πόλης, 470 χλμ βορειοδυτικά της Αθήνας και 120 χλμ νοτιοδυτικά της Θεσσαλονίκης, σε μέσο υψόμετρο 710 μ.
Ο πύργος του ρολογιού και το δημαρχείο στα νότια της πλατείας Νίκης.(Wikipedia)
Η πλατεία Νίκης περιβάλλεται από τις οδούς Κοβεντάρων στα βόρεια, Τσόντζα στα δυτικά, Παύλου Μελά στα ανατολικά και τη λεωφόρο Ειρήνης στα νότια. Γύρω του στέκονται πολλά νεοκλασικά κτίρια της Κοζάνης, όπως το ξενοδοχείο Ερμιόνιο (1931-1932), το δημαρχείο και η Εθνική Τράπεζα της Ελλάδος. Στα νότια βρίσκεται η εκκλησία του Αγ. Νικολάου, πολιούχου της πόλης. Ανάμεσα στην εκκλησία και το δημαρχείο υψώνεται το καμπαναριό του Αγ. Νικολάου, που χτίστηκε το 1855. Σήμερα είναι το σύμβολο της πόλης, γνωστός και με το όνομα του Κοζανίτη ομογενή «Μαμάτσιο» που δώρισε τον πύργο του ρολογιού.
Στην πλατεία Νίκης πραγματοποιούνται οι περισσότερες πολιτιστικές, αθλητικές εκδηλώσεις και εκδηλώσεις της περιοχής.
Τον Αύγουστο του 2014 ξεκίνησε η ριζική ανάπλαση της πλατείας και των γύρω πεζοδρομίων, μετά από προηγούμενο αρχιτεκτονικό διαγωνισμό. Η πλατεία, στη νέα της μορφή, παραδόθηκε προς χρήση τον Φεβρουάριο του 2016.","Der Nikis-Platz ist der zentrale Platz von Kozani. Es liegt ungef?hr im zentralen Teil der Stadt, 470 km nordwestlich von Athen und 120 km s?dwestlich von Thessaloniki, auf einer durchschnittlichen H?he von 710 m.
Die Uhr und das Rathaus s?dlich des Niki-Platzes.
Der Nikis-Platz ist im Norden von den Stra?en Koventaron, im Westen von Tsontza, im Osten von Pavlou Mela und im S?den von der Irini Avenue umgeben. Um ihn herum stehen viele neoklassizistische Geb?ude von Kozani, wie das Ermionion Hotel (1931-1932), das Rathaus und die Nationalbank von Griechenland. Im S?den ist die Kirche von Ag. Nikolaou, Schutzpatron der Stadt. Zwischen Kirche und Rathaus erhebt sich der Glockenturm von Ag. Nikolaou, die 1855 erbaut wurde. Heute ist sie das Wahrzeichen der Stadt, auch bekannt unter dem Namen des Kozani-Auswanderers ΒMamatsioΒ, der die Uhr gestiftet hat.
Die meisten Kultur-, Sport- und Veranstaltungsveranstaltungen der Gegend finden auf dem Niki-Platz statt.
Im August 2014 begann nach einem vorangegangenen Architektenwettbewerb eine radikale Sanierung des Platzes und der umliegenden B?rgersteige. Der Platz in seiner neuen Form wurde im Februar 2016 zur Nutzung ?bergeben. (wikipedia translated from Greek)",Πλατεία,"Niki Square is the central square of Kozani. It is located approximately in the central part of the city, 470 km northwest of Athens and 120 km southwest of Thessaloniki, at an average altitude of 710 m.
The clock tower and the town hall to the south of Niki square.(Wikipedia)
Nikis Square is surrounded by Koventaron streets in the north, Tsontza in the west, Pavlou Mela in the east and Irini Avenue in the south. Many neoclassical buildings of Kozani stand around it, such as the Ermionion Hotel (1931-1932), the town hall and the National Bank of Greece. To the south is the church of Ag. Nikolaou, patron saint of the city. Between the church and the town hall rises the bell tower of Ag. Nikolaou, which was built in 1855. Today it is the symbol of the city, also known by the name of the Kozani expatriate ""Mamatsio"" who donated the clock tower.
Most of the cultural, sports events and events of the area take place in Niki Square.
In August 2014, a radical renovation of the square and the surrounding sidewalks began, following a previous architectural competition. The square, in its new form, was delivered for use in February 2016.",21.7879,40.30134,https://i.postimg.cc/3JC035SP/Nikis-Square-Kozani.jpg,Square,Πλατεία Κοζάνης,Platz,Kozani-Platz
2,Servia's Square,"Τα Σέρβια είναι μια από τις σημαντικότερες πόλεις στην επικράτεια της Κοζάνης. Βρίσκονται μεταξύ των βορειοδυτικών άκρων των Πιερίων Ορέων και του ποταμού Αλιάκμονα, 26 χλμ νοτιοανατολικά της Κοζάνης, 47 χλμ από την Ελασσόνα και 15 χλμ από τα στενά του Σαρανταπόρου. Βρίσκονται επίσης 150 χλμ νοτιοδυτικά της Θεσσαλονίκης και 100 χλμ βορειοδυτικά της Λάρισας.
Από τη Σερβία η οδική διαδρομή, μέσω της παλιάς Καστανιάς ή Πλατανόρρευμα και Πιερίας, προς την Κατερίνη είναι 65 χιλιόμετρα. Είναι η συντομότερη και πιο προσιτή διαδρομή από την Κοζάνη προς την Κατερίνη κατά την οποία ο ταξιδιώτης συναντά όμορφα τοπία και φυσικές ομορφιές.(Wikipedia)","Serbien ist eine der wichtigsten St?dte im Gebiet von Kozani. Sie liegen zwischen den nordwestlichen Enden des Pieria-Gebirges und dem Fluss Aliakmonas, 26 km s?d?stlich von Kozani, 47 km von Elassona und 15 km von der Meerenge von Sarandaporos entfernt. Sie befinden sich auch 150 km s?dwestlich von Thessaloniki und 100 km nordnordwestlich von Larissa.
Von Serbien aus ist die Stra?enroute durch das alte Kastania oder Platanorrevma und Pieria nach Katerini 65 km lang und die k?rzeste und zug?nglichste Route von Kozani nach Katerini, auf der der Reisende wundersch?ne Landschaften und Natursch?nheiten trifft.(wikipedia translated from Greek)",Πλατεία,"Serbia is one of the most important towns in the territory of Kozani. They are located between the northwestern ends of the Pieria Mountains and the river Aliakmonas, 26 km southeast of Kozani, 47 km from Elassona and 15 km from the straits of Sarandaporos. They are also located 150 km southwest-west of Thessaloniki and 100 km north-northwest of Larissa.
From Serbia the road route, through old Kastania or Platanorrevma and Pieria, to Katerini is 65 km. It is the shortest and most accessible route from Kozani to Katerini during which the traveler meets beautiful landscapes and natural beauties.(Wikipedia)",22.00087,40.18167,https://i.postimg.cc/bwGFST7H/plateia-servion.jpg,Square,Πλατεία Σερβίων,Platz,Servia-Platz
3,Ptolemaida's Square,"Η Πτολεμαΐδα είναι πόλη της Περιφερειακής Ενότητας Κοζάνης στην Περιφέρεια Δυτικής Μακεδονίας και έδρα του δήμου Εορδαίας. Απέχει περίπου 28 χλμ. από την Κοζάνη, την πρωτεύουσα της ΠΕ, και είναι η δεύτερη σε πληθυσμό πόλη της Π.Ε. Κοζάνης και η Περιφέρεια Δυτικής Μακεδονίας, με πληθυσμό 32.127 κατοίκους.(Wikipedia)
Από τη δεκαετία του 1960, ο αυτοκινητόδρομος GR-3 / E65 παρακάμπτει την πόλη στα ανατολικά. Χαρακτηρίζεται ως το ενεργειακό κέντρο της Ελλάδας λόγω των θερμοηλεκτρικών σταθμών που εκμεταλλεύονται τον λιγνίτη της περιοχής για παραγωγή ενέργειας.","Ptolemaida ist eine Stadt der Regionaleinheit Kozani in der Region Westmakedonien und Sitz der Gemeinde Eordea. Es ist etwa 28 km von Kozani, der Hauptstadt von PE, entfernt und ist die zweitgr??te Stadt von PE. Kozani und die Region Westmakedonien mit 32.127 Einwohnern.(wikipedia translated from Greek)
Seit den 1960er Jahren umgeht die Autobahn GR-3 / E65 die Stadt im Osten. Aufgrund der W?rmekraftwerke, die die Braunkohle des Gebiets zur Energieerzeugung nutzen, wird es als Energiezentrum Griechenlands bezeichnet.
Das Gebiet von Eordea zusammen mit dem Rest Obermakedoniens der Antike oder des heutigen Westens. Mazedonien, das die nordwestliche Ecke des griechischen Staates einnimmt, ist die alte Wiege der Mazedonier.",Πλατεία,"Ptolemaida is a city of the Regional Unit of Kozani in the Region of Western Macedonia and the seat of the municipality of Eordea. It is about 28 km from Kozani, the capital of PE, and is the second most populous city of PE. Kozani and the Region of Western Macedonia, with a population of 32,127 inhabitants.(Wikipedia)
Since the 1960s, the GR-3 / E65 motorway bypasses the city to the east. It is characterized as the energy center of Greece due to the thermal power plants that exploit the lignite of the area for energy production.
The area of ??Eordea together with the rest of Upper Macedonia of antiquity or today's West. Macedonia, which occupies the NW corner of the Greek state, is the ancient cradle of the Macedonians.",21.67963,40.51319,https://i.postimg.cc/vTH0YL7n/plateia-ptolemaidas.jpg,Square,Πλατεία Πτολεμαϊδας,Platz,Ptolemaida-Platz
4,Grevena's Square,"Η πλατεία Αιμιλιανού πήρε το όνομά του από τον Μητροπολίτη Αιμιλιανό, ο οποίος είχε δραστήρια προστασία των Μακεδόνων από τους Τούρκους και τις συνεχείς επιθέσεις και δολοφονίες, με αποτέλεσμα τη δολοφονία του. Στην πλατεία θα βρείτε εστιατόρια, τράπεζες και καταστήματα. (Taxidologio.gr)","Der Emilianou-Platz wurde nach Metropolit Emilianos benannt, der sich aktiv f?r den Schutz der Mazedonier vor den T?rken und den st?ndigen Angriffen und Morden eingesetzt hatte, die zu seiner eigenen Ermordung f?hrten. Auf dem Platz finden Sie Restaurants, Banken und Gesch?fte (Translated from Taxidologio.gr)",Πλατεία,"Emilianou Square was named after Metropolitan Emilianos, who had been active in protecting the Macedonians from the Turks and the constant attacks and killings, resulting in his own assassination. In the square you will find restaurants, banks and shops. (Taxidologio.gr)",21.42721,40.08458,https://i.postimg.cc/cHTcbtqL/plateia-grevenon.jpg,Square,Πλατεία Γρεβενών,Platz,Grevena-Platz
5,Kozani's Hospital,"Το Μαμάτσειο Γενικό Νομαρχιακό Νοσοκομείο Κοζάνης λειτουργεί από το 1953, έχει το όνομά του από τον δωρητή Κοζάνης Κωνσταντίνο Μαμάτσιο και εξυπηρετεί τις ανάγκες όλης της περιοχής. Στην πόλη υπάρχουν επίσης 5 ιδιωτικές γενικές κλινικές, Μαιευτική Κλινική και 2 Ψυχιατρικά νοσοκομεία.(Wikipedia)","Das Mamatsio General Prefectural Hospital of Kozani ist seit 1953 in Betrieb, ist nach seinem Kozani-Spender Konstantinos Mamatsios benannt und dient den Bed?rfnissen der gesamten Region. In der Stadt gibt es auch 5 private Allgemeinkliniken, eine Klinik f?r Geburtshilfe und 2 psychiatrische Krankenh?user.(wikipedia translated from Greek)",Νοσοκομείο,"The Mamatsio General Prefectural Hospital of Kozani has been operating since 1953, is named after its donor Kozani, Konstantinos Mamatsios and serves the needs of the whole region. In the city there are also 5 private general clinics, Obstetrics Clinic and 2 Psychiatric hospitals.(Wikipedia)",21.78582,40.3072,https://i.postimg.cc/P5k81fc3/nosokomeio-kozanis.jpg,Hospital,Νοσοκομείο Κοζάνης,Krankenhaus,Kozani-Krankenhaus
6,Servia's Hospital,"Το  Κέντρο Υγείας Σερβίων, συμπεριλαμβανομένων των περιφερειακών κλινικών της περιοχής μας, απασχολεί σήμερα 50 υπαλλήλους όλων των ειδικοτήτων. Κύριο μέλημα όλων είναι η καλύτερη δυνατή παροχή υπηρεσιών στους πολίτες. (Kozan.gr)","Das serbische Gesundheitszentrum, einschlie?lich der regionalen Kliniken in unserer Umgebung, besch?ftigt derzeit 50 Mitarbeiter aller Fachrichtungen. Das Hauptanliegen aller ist die bestm?gliche Bereitstellung von Dienstleistungen f?r die B?rger.Β (translated from Kozan.gr)",Νοσοκομείο,"The Serbian Health Center, including the regional clinics in our area, currently employs 50 employees of all specialties. The main concern of all is the best possible provision of services to citizens. (Kozan.gr)",22.00904,40.18669,https://i.postimg.cc/vTVc6Cvw/kentro-ygeias-servion-1.jpg,Hospital,Νοσοκομείο Σερβίων,Krankenhaus,Servia-Krankenhaus
7,Ptolemaida's Hospital,"Το 1984 ιδρύεται το Κρατικό Νοσοκομείο Πτολεμαΐδας που στεγάζεται στο κτίριο της Κλινικής Μπαλταδώρου, το οποίο επί τρία χρόνια λειτούργησε ως παράρτημα του Μαμάτσιου Νοσοκομείου Κοζάνης. Επειδή διαπιστώθηκε ότι η διοίκηση του κλάδου και το ιατρικό προσωπικό με το Μαμάτσιο δεν επέτρεπαν τη σωστή διαχείριση και ιατρική λειτουργία και ανάπτυξη του νοσοκομείου, το Δημόσιο εξέδωσε το 1987 την ανεξάρτητη νοσοκομειακή οργάνωση του Μποδοσάκειου Νοσοκομείου Πτολεμαϊκού Νοσοκομείου, 110. Τον Αύγουστο Το 1992, ολόκληρος ο μηχανισμός του Νοσοκομείου μεταφέρθηκε και εγκαταστάθηκε στο νεόδμητο κτήριο, δωρεά του Ιδρύματος Μποδοσάκη, στις βόρειες περιοχές της πόλης.
Το 1995 εκδόθηκε ο νέος οργανισμός του Νοσοκομείου δυναμικότητας 250 κλινών, εκ των οποίων 105 στον Παθολογικό τομέα, 120 στον Χειρουργικό και 25 στον Ψυχιατρικό τομέα. (mpodosakeio.gr)","1984 wurde das Ptolemaida State Hospital gegr?ndet, das im Geb?ude der Baltadoros-Klinik untergebracht war, die drei Jahre lang als Zweigstelle des Mamatsio-Krankenhauses in Kozani fungierte. Da festgestellt wurde, dass die Zweigverwaltung und das medizinische Personal bei Mamatsio die ordnungsgem??e Verwaltung und den medizinischen Betrieb und die Entwicklung des Krankenhauses nicht zulie?en, ver?ffentlichte der Staat 1987 die unabh?ngige Krankenhausorganisation des Bodosaki-Krankenhauses des Ptolemaikos-Krankenhauses, 110. Im August 1992 wurde die gesamte Einrichtung des Krankenhauses in das von der Bodossakis-Stiftung gestiftete neu erbaute Geb?ude in den n?rdlichen Gebieten der Stadt verlegt und installiert.
1995 wurde die neue Organisation des Krankenhauses mit einer Kapazit?t von 250 Betten ver?ffentlicht, davon 105 im pathologischen Bereich, 120 im chirurgischen Bereich und 25 im psychiatrischen Bereich. (translated from mpodosakeio.gr)",Νοσοκομείο,"In 1984, the Ptolemaida State Hospital was founded, housed in the building of the Baltadoros Clinic, which for three years functioned as a branch of the Mamatsio Hospital in Kozani. Because it was found that the branch administration and the medical staff with Mamatsio did not allow the proper management and medical operation and development of the hospital, the State in 1987 published the independent hospital organization of the Bodosaki Hospital of Ptolemaikos Hospital, 110. In August 1992, the entire mechanism of the Hospital was transferred and installed in the newly built building, donated by the Bodossakis Foundation, in the northern areas of the city.
In 1995, the new organization of the Hospital with a capacity of 250 beds was published, of which 105 in the Pathological sector, 120 in the Surgical sector and 25 in the Psychiatric sector. (mpodosakeio.gr)",21.65654,40.54363,https://i.postimg.cc/g0g42tsK/nosokomeio-ptolemaidas.jpg,Hospital,Νοσοκομείο Πτολεμαϊδας,Krankenhaus,Ptolemaida-Krankenhaus
8,Grevena's Hospital,"Το Διοικητικό Συμβούλιο του Γενικού Νοσοκομείου Γρεβενών αποτελείται από τα παρακάτω μέλη:
Πρόεδρος, Ευτυχία Καπάτου  Διοικήτρια του  Γ.Ν. Γρεβενών
Αντιπρόεδρος, Κων/νος Τζάτζης Εκπαιδευτικός με αναπληρωτή την Ευαγγελία Γιώτα Δικηγόρο.
Μέλος, Δήμητρα Μπασίνα Εκπαιδευτικός με αναπληρωτή τον Ανδρέα Βάιο  Εκπαιδευτικό.
Μέλος, εκπρόσωπος των ιατρών  Κων/νος Μαγιάννης Διευθυντής Παθολογίας- ΕΣΥ με αναπληρωτή τον  Θωμά Κώτση, Δ/ντή Καρδιολογίας.
Μέλος, εκπρόσωπος του λοιπού προσωπικού, πλην των ιατρών Ε.Σ.Υ., Ιωάννης Παπανικολάου υπάλληλος κατηγορίας ΔΕ κλάδου Τεχνικών ως μοναδικός εκπρόσωπος των εργαζομένων.","Der Vorstand des Allgemeinen Krankenhauses von Grevena besteht aus folgenden Mitgliedern:
Pr?sident, Eftychia Kapatou Kommandeur des Generalstabs Grevena
Vizepr?sident, Konstantinos Tzatzis Lehrer mit Evangelia Giota Rechtsanw?ltin als Stellvertreterin.
Mitglied, Dimitra Basina Lehrerin mit Andreas Vaios Lehrer als Stellvertreter.
Mitglied, Vertreter der ?rzte Konstantinos Magiannis Direktor f?r Pathologie Β NSS mit Thomas Kotsis, Direktor f?r Kardiologie.
Mitglied, Vertreter des ?brigen Personals, mit Ausnahme der ?rzte des Nationalen Gesundheitsdienstes, Ioannis Papanikolaou, Angestellter der Laufbahngruppe DE der Technischen Abteilung als alleiniger Vertreter der Angestellten.",Νοσοκομείο,"The Board of Directors of the General Hospital of Grevena consists of the following members:
President, Eftychia Kapatou Commander of the General Staff Grevena
Vice President, Konstantinos Tzatzis Teacher with Evangelia Giota Lawyer as Deputy.
Member, Dimitra Basina Teacher with Andreas Vaios Teacher as deputy.
Member, representative of doctors Konstantinos Magiannis Director of Pathology - NSS with Thomas Kotsis, Director of Cardiology.
Member, representative of the other staff, except for the doctors of the National Health Service, Ioannis Papanikolaou, employee of category DE of the Technical branch as the sole representative of the employees.",21.43718,40.08826,https://i.postimg.cc/SQBdRM6H/nosokomeio-grevenon.jpg,Hospital,Νοσοκομείο Γρεβενών,Krankenhaus,Grevena-Krankenhaus
9,Kozani's Town Hall,"Η Κοζάνη είναι Δήμος της Περιφέρειας Δυτικής Μακεδονίας.  Έδρα του Δήμου είναι η πόλη της Κοζάνης, ενώ ιστορική έδρα του Δήμου είναι η πόλη της Αιανής, χτισμένη κοντά στην αρχαία πόλη.  Η πόλη αποτελεί το εμπορικό και επιστημονικό κέντρο της Δυτικής Μακεδονίας με έντονη ζωή και ποικίλες πολιτιστικές και κοινωνικές εκδηλώσεις. Η θέση της πόλης είναι σε τέτοιο σημείο που την καθιστά συγκοινωνιακό κόμβο που συνδέει τη Μακεδονία με την Ήπειρο και τη Θεσσαλία. Η κατασκευή της νέας Εγνατίας μείωσε την απόσταση προς τα μεγάλα αστικά κέντρα και διευκόλυνε την πρόσβαση επισκεπτών. Οι κάτοικοι του Δήμου Κοζάνης φροντίζουν για την διατήρηση της πλούσιας τοπικής παράδοσης αλλά και για την ανάπτυξη της πόλης μέσα από σύγχρονες υποδομές  για να είναι η πόλη σε μια θέση ευημερίας και ξεχωριστής λειτουργικότητας.","Kozani ist eine Gemeinde der Region Westmakedonien. Der Sitz der Gemeinde ist die Stadt Kozani, w?hrend der historische Sitz der Gemeinde die Stadt Aiani ist, die in der N?he der antiken Stadt erbaut wurde. Die Stadt ist das kommerzielle und wissenschaftliche Zentrum von Westmakedonien mit einem intensiven Leben und verschiedenen kulturellen und gesellschaftlichen Veranstaltungen. Die Lage der Stadt ist an einem solchen Punkt, dass sie zu einem Verkehrsknotenpunkt wird, der Mazedonien mit Epirus und Thessalien verbindet. Der Bau des neuen Egnatia verringerte die Entfernung zu den gro?en st?dtischen Zentren und erleichterte den Besuchern den Zugang. Die Einwohner der Gemeinde Kozani k?mmern sich um die Bewahrung der reichen lokalen Tradition, aber auch um die Entwicklung der Stadt durch moderne Infrastrukturen, damit die Stadt in eine Position des Wohlstands und der besonderen Funktionalit?t gelangt (translated from Cityofkozani.gov.gr)",Δημαρχείο,"Kozani is a Municipality of the Region of Western Macedonia. The seat of the Municipality is the city of Kozani, while the historical seat of the Municipality is the city of Aiani, built near the ancient city. The city is the commercial and scientific center of Western Macedonia with intense life and various cultural and social events. The location of the city is at such a point that it becomes a transport hub that connects Macedonia with Epirus and Thessaly. The construction of the new Egnatia reduced the distance to the major urban centers and facilitated the access of visitors. The inhabitants of the Municipality of Kozani take care of the preservation of the rich local tradition but also for the development of the city through modern infrastructures so that the city is in a position of prosperity and special functionality. (Cityofkozani.gov.gr)",21.7881,40.3009,https://i.postimg.cc/8zHmZX2V/dimarxeio-kozanis.jpg,TownHall,Δημαρχείο Κοζάνης,Rathaus,Kozani Rathaus
10,Servia's Town Hall,"Ο δήμος Σερβίων είναι δήμος του νομού Κοζάνης. Συστάθηκε αρχικά το 1964 και προήλθε από αναγνώριση της πρώην κοινότητας Σερβίων σε δήμο. Το 1999 με την εφαρμογή του προγράμματος Καποδίστριας διευρύνθηκε με τη συνένωση σ αυτόν παλαιότερων κοινοτήτων της περιοχής, που αποτέλεσαν στη συνέχεια τα δημοτικά διαμερίσματα του δήμου. Ο νέος διευρυμένος δήμος λειτούργησε την περίοδο 1999 -2010 οπότε και καταργήθηκε με την εφαρμογή του προγράμματος Καλλικράτης και εντάχθηκε στον νέο δήμο Σερβίων-Βελβεντού, ο πληθυσμός του οποίου ήταν 14.830 κάτοικοι σύμφωνα με την απογραφή του 2011. Βρίσκεται στο ανατολικό τμήμα του νομού στις πλαγιές του Βερμίου και των Πιερίων. Περιελάμβανε 14 δημοτικά διαμερίσματα, καταλάμβανε έκταση 351,1 τ.χλμ. και είχε συνολικό πληθυσμό 10.001 κατοίκους (απογραφή 2001). Με το Πρόγραμμα Κλεισθένης Ι, το 2019 ο δήμος επανασυστάθηκε, με διαφορετική έκταση, περιλαμβάνοντας πλέον τρείς Δημοτικές Ενότητες (Σερβίων, Καμβουνίων και Λιβαδερού). Έδρα του δήμου είναι τα ομώνυμα Σέρβια.","Die Gemeinde Serbien ist eine Gemeinde in der Pr?fektur Kozani. Es wurde urspr?nglich 1964 gegr?ndet und entstand aus der Anerkennung der ehemaligen serbischen Gemeinde in einer Gemeinde. 1999 wurde es mit der Umsetzung des Kapodistrias-Programms erweitert, indem ?ltere Gemeinden des Gebiets zusammengelegt wurden, die sp?ter zu den Gemeindebezirken der Gemeinde wurden. Die neue erweiterte Gemeinde war im Zeitraum 1999-2010 t?tig, als sie mit der Umsetzung des Kallikratis-Programms abgeschafft wurde und sich der neuen Gemeinde Serbien-Velvento anschloss, deren Bev?lkerung laut der Volksz?hlung 2011 14.830 Einwohner betrug und im Osten liegt Teil der Pr?fektur an den H?ngen von Vermio und Pieria. Es umfasste 14 Gemeindebezirke mit einer Fl?che von 351,1 kmΒ². und hatte eine Gesamtbev?lkerung von 10.001 Einwohnern (Volksz?hlung 2001). Mit dem Cleisthenes-I-Programm wurde die Gemeinde 2019 mit einem anderen Gebiet neu gegr?ndet und umfasst nun drei Gemeindeeinheiten (Serbion, Kamvounion und Livaderou). Sitz der Gemeinde ist das gleichnamige Serbien (transalted from E-servia.gr)",Δημαρχείο,"The municipality of Servia is a municipality in the prefecture of Kozani. It was originally established in 1964 and came from the recognition of the former Serb community in a municipality. In 1999, with the implementation of the Kapodistrias program, it was expanded by merging older communities of the area, which later became the municipal districts of the municipality. The new enlarged municipality operated in the period 1999-2010, when it was abolished with the implementation of the Kallikratis program and joined the new municipality of Servia-Velvento, whose population was 14,830 inhabitants according to the 2011 census. It is located in the eastern part of the prefecture on the slopes of Vermio and Pieria. It included 14 municipal districts, occupied an area of ??351.1 sq.km. and had a total population of 10,001 inhabitants (2001 census). With the Cleisthenes I Program, in 2019 the municipality was re-established, with a different area, now including three Municipal Units (Serbion, Kamvounion and Livaderou). The seat of the municipality is the homonymous Serbia. (E-servia.gr)",22.00107,40.18132,https://i.postimg.cc/tJWhWB3w/dimarxeio-servion.jpg,TownHall,Δημαρχείο Σερβίων,Rathaus,Servia Rathaus
11,Ptolemaida's Town Hall,"Το κτίριο του Δημαρχείου κατασκευάστηκε από το στρατό και προοριζόταν για Λέσχη Αξιωματικών. Όταν όμως η ιδέα εγκαταλείφθηκε, μετατράπηκε σε Δημαρχείο. Βρίσκεται στην είσοδο της πόλης πάνω στην εθνική οδό και ακριβώς απέναντι από το Δημοτικό Στάδιο Πτολεμαΐδας.
Στεγάζει διάφορες υπηρεσίες του Δήμου, η Τεχνική Υπηρεσία στεγάζεται στο χώρο του πρώην Στρατοπέδου Μηχανικού στον δρόμο προς το Δ.Δ Ασβεστόπετρας. Κατά καιρούς έχει χρησιμοποιηθεί ως χώρος διεξαγωγής εξετάσεων για ερασιτεχνική άδεια οδηγήσεως.","Das Rathausgeb?ude wurde von der Armee gebaut und war f?r einen Offiziersclub bestimmt. Aber als die Idee aufgegeben wurde, wurde es in das Rathaus umgewandelt. Es liegt am Eingang der Stadt an der Autobahn und direkt gegen?ber dem St?dtischen Stadion von Ptolemaida.
Es beherbergt verschiedene Dienste der Gemeinde, der Technische Dienst ist auf dem Gel?nde des ehemaligen Ingenieurlagers an der Stra?e zur Gemeinde Asvestopetra untergebracht. Von Zeit zu Zeit wurde es als Testgel?nde f?r Amateurf?hrerscheine genutzt (translated from Wikipedia).",Δημαρχείο,"The City Hall building was constructed by the army and was intended for an Officers' Club. But when the idea was abandoned, it was turned into City Hall. It is located at the entrance of the city on the highway and just opposite the Municipal Stadium of Ptolemaida.
It houses various services of the Municipality, the Technical Service is housed in the area of the former Engineer Camp on the road to the Municipality of Asvestopetra. From time to time it has been used as a testing ground for amateur driving licenses. (Wikipedia)",21.68185,40.51028,https://i.postimg.cc/65xVtNwX/dimarxeio-eordaias.jpg,TownHall,Δημαρχείο Πτολεμαϊδας,Rathaus,Ptolemaida Rathaus
12,Grevena's Town Hall,"Ο Δήμος Γρεβενών είναι δήμος της Περιφέρειας Δυτικής Μακεδονίας, ο οποίος ιδρύθηκε το 2011 από τη συγχώνευση των προϋπαρχόντων δήμων Βέντζιου, Γρεβενών, Γοργιανής, Ηρακλείου, Θ. Φιλίππους.
Πρωτεύουσά του είναι τα Γρεβενά, που είναι και η μοναδική του πόλη. (Dimosgrevenon.gr)","Die Gemeinde Grevena ist eine Gemeinde der Region Westmakedonien, die 2011 durch den Zusammenschluss der bereits bestehenden Gemeinden Ventzi, Grevena, Gorgiani, Heraklion, Th. Philippians gegr?ndet wurde.
Seine Hauptstadt ist Grevena, die auch seine einzige Stadt ist (translated from Dimosgrevenon.gr).",Δημαρχείο,"The Municipality of Grevena is a municipality of the Region of Western Macedonia, which was established in 2011 by the merger of the pre-existing municipalities of Ventzio, Grevena, Gorgiani, Heraklion, Th. Philippians.
Its capital is Grevena, which is also its only city. (Dimosgrevenon.gr)",21.4285,40.08412,https://i.postimg.cc/FHWJdtt1/dimarxeio-grevenon.jpg,TownHall,Δημαρχείο Γρεβενών,Rathaus,Grevena Rathaus
